CodigoDiagnostico;Descripcion
Y341;EVENTO NO ESPECIFICADO, DE INTENCION NO DETERMINADA: INSTITUCION RESIDENCIAL
Y342;EVENTO NO ESPECIFICADO, DE INTENCION NO DETERMINADA: ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS
Y343;EVENTO NO ESPECIFICADO, DE INTENCION NO DETERMINADA: AREAS DE DEPORTE Y ATLETISMO
Y344;EVENTO NO ESPECIFICADO, DE INTENCION NO DETERMINADA: CALLES Y CARRETERAS
Y345;EVENTO NO ESPECIFICADO, DE INTENCION NO DETERMINADA: COMERCIO Y AREA DE SERVICIOS
Y346;EVENTO NO ESPECIFICADO, DE INTENCION NO DETERMINADA: AREA INDUSTRIAL Y DE LA CONSTRUCCION
Y347;EVENTO NO ESPECIFICADO, DE INTENCION NO DETERMINADA: GRANJA
Y348;EVENTO NO ESPECIFICADO, DE INTENCION NO DETERMINADA: OTRO LUGAR ESPECIFICADO
Y349;EVENTO NO ESPECIFICADO, DE INTENCION NO DETERMINADA: LUGAR NO ESPECIFICADO
Y350;INTERVENCION LEGAL CON DISPARO DE ARMA DE FUEGO
Y351;INTERVENCION LEGAL CON EXPLOSIVOS
Y352;INTERVENCION LEGAL CON GAS
Y353;INTERVENCION LEGAL CON OBJETOS ROMOS O SIN FILO
Y354;INTERVENCION LEGAL CON OBJETOS CORTANTES
Y355;EJECUCION LEGAL
Y356;INTERVENCION LEGAL CON OTROS MEDIOS ESPECIFICADOS
Y357;INTERVENCION LEGAL, MEDIOS NO ESPECIFICADOS
Y360;OPERACIONES DE GUERRA CON EXPLOSION DE ARMAMENTO NAVAL
Y361;OPERACIONES DE GUERRA CON DESTRUCCION DE AERONAVE
Y362;OPERACIONES DE GUERRA CON OTRAS EXPLOSIONES Y ESQUIRLAS
Y363;OPERACIONES DE GUERRA CON FUEGO Y SUSTANCIAS INCENDIARIAS Y CALIENTES
Y364;OPERACIONES DE GUERRA CON DISPARO DE ARMA DE FUEGO Y OTRAS FORMAS DE GUERRA CONVENCIONAL
Y365;OPERACIONES DE GUERRA CON ARMAS NUCLEARES
Y366;OPERACIONES DE GUERRA CON ARMAS BIOLOGICAS
Y367;OPERACIONES DE GUERRA CON ARMAS QUIMICAS Y OTRAS FORMAS DE GUERRA NO CONVENCIONAL
Y368;OPERACIONES DE GUERRA QUE OCURREN DESPUES DEL CESE DE HOSTILIDADES
Y369;OPERACION DE GUERRA NO ESPECIFICADA
Y400;EFECTOS ADVERSOS DE PENICILINAS
Y401;EFECTOS ADVERSOS DE CEFALOSPORINAS Y OTROS ANTIBIOTICOS BETALACTAMICOS
Y402;EFECTOS ADVERSOS DEL GRUPO DE CLORAMFENICOL
Y403;EFECTOS ADVERSOS DE LOS MACROLIDOS
Y404;EFECTOS ADVERSOS DE TETRACICLINAS
Y405;EFECTOS ADVERSOS DE AMINOGLICOSIDOS
Y406;EFECTOS ADVERSOS DE RIFAMICINAS
Y407;EFECTOS ADVERSOS DE ANTIBIOTICOS ANTIMICOTICOS USADOS SISTEMATICAMENTE
Y408;EFECTOS ADVERSOS DE OTROS ANTIBIOTICOS SISTEMICOS
Y409;EFECTOS ADVERSOS DE ANTIBIOTICO SISTEMICO NO ESPECIFICADO
Y410;EFECTOS ADVERSOS DE SULFONAMIDAS
Y411;EFECTOS ADVERSOS DE DROGAS ANTIMICOBACTERIANAS
Y412;EFECTOS ADVERSOS DE DROGAS ANTIPALUDICAS Y AGENTES QUE ACTUAN SOBRE OTROS PROTOZOARIOS DE LA SANGRE
Y413;EFECTOS ADVERSOS DE OTRAS DROGAS ANTIPROTOZOARIAS
Y414;EFECTOS ADVERSOS DE ANTIHELMINTICOS
Y415;EFECTOS ADVERSOS DE DROGAS ANTIVIRALES
Y418;EFECTOS ADVERSOS DE OTROS ANTIINFECCIOSOS Y ANTIPARASITARIOS SISTEMICOS ESPECIFICADOS
Y419;EFECTOS ADVERSOS DE ANTIINFECCIOSOS Y ANTIPARASITARIOS SISTEMICOS NO ESPECIFICADOS
Y420;EFECTOS ADVERSOS DE GLUCOCORTICOIDES Y ANALOGOS SINTETICOS
Y421;EFECTOS ADVERSOS DE HORMONAS TIROIDEAS Y SUSTITUTOS
Y422;EFECTOS ADVERSOS DE DROGAS ANTITIROIDEAS
Y423;EFECTOS ADVERSOS DE DROGAS HIPOGLUCEMIANTES ORALES E INSULINA [ANTIDIABETICAS]
Y424;EFECTOS ADVERSOS DE ANTICONCEPTIVOS ORALES
Y425;EFECTOS ADVERSOS DE OTROS ESTROGENOS Y PROGESTAGENOS
Y426;EFECTOS ADVERSOS DE ANTIGONADOTROPINAS, ANTIESTROGENOS Y ANTIANDROGENOS, NO CLASIFICADOS EN OTRA PARTE
Y427;EFECTOS ADVERSOS DE ANDROGENOS Y CONGENERES ANABOLICOS
Y428;EFECTOS ADVERSOS DE OTRAS HORMONAS Y SUS SUSTITUTOS SINTETICOS, Y LAS NO ESPECIFICADAS
Y429;EFECTOS ADVERSOS DE OTRAS HORMONAS ANTAGONISTAS, Y LAS NO ESPECIFICADAS
Y430;EFECTOS ADVERSOS DE ANTIALERGICOS Y ANTIEMETICOS
Y431;EFECTOS ADVERSOS DE ANTIMETABOLITOS ANTINEOPLASICOS
Y432;EFECTOS ADVERSOS DE PRODUCTOS NATURALES ANTINEOPLASICOS
Y433;EFECTOS ADVERSOS DE OTRAS DROGAS ANTINEOPLASICAS
Y434;EFECTOS ADVERSOS DE AGENTES INMUNOSUPRESORES
Y435;EFECTOS ADVERSOS DE AGENTES ACIDIFICANTES Y ALCALINIZANTES
Y436;EFECTOS ADVERSOS DE ENZIMAS NO CLASIFICADAS EN OTRA PARTE
Y438;EFECTOS ADVERSOS DE OTROS AGENTES SISTEMICOS PRIMARIOS NO CLASIFICADOS EN OTRA PARTE
Y439;EFECTOS ADVERSOS DE AGENTE SISTEMICO PRIMARIO NO ESPECIFICADO
Y440;EFECTOS ADVERSOS DE PREPARACIONES CON HIERRO Y OTROS PREPARADOS CONTRA LA ANEMIA HIPOCROMICA
Y441;EFECTOS ADVERSOS DE VITAMINA B12, ACIDO FOLICO Y OTROS PREPARADOS CONTRA LA ANEMIA MEGALOBLASTICA
Y442;EFECTOS ADVERSOS DE ANTICOAGULANTES
Y443;EFECTOS ADVERSOS DE ANTAGONISTAS DE ANTICOAGULANTES, VITAMINA K Y OTROS COAGULANTES
Y444;EFECTOS ADVERSOS DE DROGAS ANTITROMBOTICAS [INHIBIDORAS DE LA AGREGACION PLAQUETARIA]
Y445;EFECTOS ADVERSOS DE DROGAS TROMBOLITICAS
Y446;EFECTOS ADVERSOS DE SANGRE NATURAL Y PRODUCTOS SANGUINEOS
Y447;EFECTOS ADVERSOS DE LOS SUSTITUTOS DEL PLASMA
Y449;EFECTOS ADVERSOS DE OTROS AGENTES QUE AFECTAN LOS CONSTITUYENTES DE LA SANGRE, Y LOS NO ESPECIFICADOS
Y450;EFECTOS ADVERSOS DE OPIACEOS Y ANALGESICOS RELACIONADOS
Y451;EFECTOS ADVERSOS DE SALICILATOS
Y452;EFECTOS ADVERSOS DE DERIVADOS DEL ACIDO PROPIONICO
Y453;EFECTOS ADVERSOS DE OTRAS DROGAS ANTIINFLAMATORIAS NO ESTEROIDES [DAINE]
Y454;EFECTOS ADVERSOS DE LOS ANTIRREUMATICOS
Y455;EFECTOS ADVERSOS DE LOS DERIVADOS DEL 4-AMINOFENOL
Y458;EFECTOS ADVERSOS DE OTROS ANALGESICOS Y ANTIPIRETICOS
Y459;EFECTOS ADVERSOS DE DROGAS ANALGESICAS, ANTIPIRETICAS Y ANTIINFLAMATORIAS NO ESPECIFICADAS
Y460;EFECTOS ADVERSOS DE SUCCINAMIDAS
Y461;EFECTOS ADVERSOS DE OXAZOLIDINADIONAS
Y462;EFECTOS ADVERSOS DE DERIVADOS DE LA HIDANTOINA
Y463;EFECTOS ADVERSOS DE DESOXIBARBITURICOS
Y464;EFECTOS ADVERSOS DE IMINOESTILBENOS
Y465;EFECTOS ADVERSOS DEL ACIDO VALPROICO
Y466;EFECTOS ADVERSOS DE OTROS ANTIEPILEPTICOS, Y LOS NO ESPECIFICADOS
Y467;EFECTOS ADVERSOS DE DROGAS ANTIPARKINSONIANAS
Y468;EFECTOS ADVERSOS DE DROGAS ANTIESPASTICAS
Y470;EFECTOS ADVERSOS DE BARBITURICOS, NO CLASIFICADOS EN OTRA PARTE
Y471;EFECTOS ADVERSOS DE BENZODIAZEPINAS
Y472;EFECTOS ADVERSOS DE DERIVADOS CLORALES
Y473;EFECTOS ADVERSOS DE PARALDEHIDO
Y474;EFECTOS ADVERSOS DE COMPUESTOS DE BROMO
Y475;EFECTOS ADVERSOS DE MEZCLAS SEDANTES E HIPNOTICAS, NO CLASIFICADAS EN OTRA PARTE
Y478;EFECTOS ADVERSOS DE OTRAS DROGAS SEDANTES, HIPNOTICAS Y ANSIOLITICAS
Y479;EFECTOS ADVERSOS DE DROGAS SEDANTES, HIPNOTICAS Y ANSIOLITICAS NO ESPECIFICADAS
Y480;EFECTOS ADVERSOS DE GASES ANESTESICOS POR INHALACION
Y481;EFECTOS ADVERSOS DE GASES ANESTESICOS PARENTERALES
Y482;EFECTOS ADVERSOS DE OTROS GASES ANESTESICOS GENERALES, Y LOS NO ESPECIFICADOS
Y483;EFECTOS ADVERSOS DE GASES ANESTESICOS LOCALES
Y484;EFECTOS ADVERSOS DE ANESTESICOS NO ESPECIFICADOS
Y485;EFECTOS ADVERSOS DE GASES TERAPEUTICOS
Y490;EFECTOS ADVERSOS DE ANTIDEPRESIVOS TRICICLICOS Y TETRACICLICOS
Y491;EFECTOS ADVERSOS DE ANTIDEPRESIVOS INHIBIDORES DE LA MONOAMINOOXIDASA
Y492;EFECTOS ADVERSOS DE OTROS ANTIDEPRESIVOS Y LOS NO ESPECIFICADOS
Y493;EFECTOS ADVERSOS DE ANTIPSICOTICOS Y NEUROLEPTICOS FENOTIAZINICOS
Y494;EFECTOS ADVERSOS DE NEUROLEPTICOS DE LA BUTIROFENONA Y TIOXANTINA
Y495;EFECTOS ADVERSOS DE OTROS ANTIPSICOTICOS Y NEUROLEPTICOS
Y496;EFECTOS ADVERSOS DE PSICODISLEPTICOS [ALUCINOGENOS]
Y497;EFECTOS ADVERSOS DE PSICOESTIMULANTES CON ABUSO POTENCIAL
Y498;EFECTOS ADVERSOS DE OTRAS DROGAS PSICOTROPICAS, NO CLASIFICADAS EN OTRA PARTE
Y499;EFECTOS ADVERSOS DE DROGAS PSICOTROPICAS NO ESPECIFICADAS
Y500;EFECTOS ADVERSOS DE ANALEPTICOS
Y501;EFECTOS ADVERSOS DE ANTAGONISTAS DE OPIACEOS
Y502;EFECTOS ADVERSOS DE METILXANTINAS, NO CLASIFICADAS EN OTRA PARTE
Y508;EFECTOS ADVERSOS DE OTROS ESTIMULANTES DEL SISTEMA NERVIOSO CENTRAL
Y509;EFECTOS ADVERSOS DE ESTIMULANTE NO ESPECIFICADO DEL SISTEMA NERVIOSO CENTRAL
Y510;EFECTOS ADVERSOS DE AGENTES ANTICOLINESTERASA
Y511;EFECTOS ADVERSOS DE OTROS PARASIMPATICOMIMETICOS [COLINERGICOS]
Y512;EFECTOS ADVERSOS DE DROGAS BLOQUEADORAS GANGLIONARES, NO CLASIFICADAS EN OTRA PARTE
Y513;EFECTOS ADVERSOS DE OTROS PARASIMPATICOLITICOS [ANTICOLINERGICOS Y ANTIMUSCARINICOS] Y ESPASMOLITICOS, NO CLASIFICADOS EN OTRA PARTE
Y514;EFECTOS ADVERSOS DE AGONISTAS [ESTIMULANTES] PREDOMINANTEMENTE ALFA-ADRENERGICOS, NO CLASIFICADOS EN OTRA PARTE
Y515;EFECTOS ADVERSOS DE AGONISTAS [ESTIMULANTES] PREDOMINANTEMENTE BETA-ADRENERGICOS, NO CLASIFICADOS EN OTRA PARTE
Y516;EFECTOS ADVERSOS DE ANTAGONISTAS [BLOQUEADORES] ALFA-ADRENERGICOS, NO CLASIFICADOS EN OTRA PARTE
Y517;EFECTOS ADVERSOS DE ANTAGONISTAS [BLOQUEADORES] BETA-ADRENERGICOS, NO CLASIFICADOS EN OTRA PARTE
Y518;EFECTOS ADVERSOS DE AGENTES BLOQUEADORES NEURO-ADRENERGICOS QUE ACTUAN CENTRALMENTE, NO CLASIFICADOS EN OTRA PARTE
Y519;EFECTOS ADVERSOS DE OTRAS DROGAS QUE AFECTAN PRIMARIAMENTE EL SISTEMA NERVIOSO AUTONOMO, Y LAS NO ESPECIFICADAS
Y520;EFECTOS ADVERSOS DE GLUCOSIDOS CARDIOTONICOS Y DROGAS DE ACCION SIMILAR
Y521;EFECTOS ADVERSOS DE BLOQUEADORES DEL CANAL DEL CALCIO
Y522;EFECTOS ADVERSOS DE OTRAS DROGAS ANTIARRITMICAS, NO CLASIFICADAS EN OTRAS PARTES
Y523;EFECTOS ADVERSOS DE VASODILATADORES CORONARIOS, NO CLASIFICADOS EN OTRAS PARTES
Y524;EFECTOS ADVERSOS DE INHIBIDORES DE LA ENZIMA CONVERTIDORA DE ANGIOTENSINA
Y525;EFECTOS ADVERSOS DE OTRAS DROGAS ANTIHIPERTENSIVAS, NO CLASIFICADAS EN OTRA PARTE
Y526;EFECTOS ADVERSOS DE DROGAS ANTIHIPERLIPIDEMICAS Y ANTIARTERIOSCLEROTICAS
Y527;EFECTOS ADVERSOS DE VASODILATADORES PERIFERICOS
Y528;EFECTOS ADVERSOS DE DROGAS ANTIVARICOSAS, INCLUSIVE AGENTES ESCLEROSANTES
Y529;EFECTOS ADVERSOS DE OTROS AGENTES QUE AFECTAN PRIMARIAMENTE EL SISTEMA CARDIOVASCULAR, Y LOS NO ESPECIFICADOS
Y530;EFECTOS ADVERSOS DE BLOQUEADORES DE LOS RECEPTORES H2 DE HISTAMINA
Y531;EFECTOS ADVERSOS DE OTRAS DROGAS ANTIACIDAS E INHIBIDORAS DE LA SECRECION GASTRICA
Y532;EFECTOS ADVERSOS DE LAXANTES ESTIMULANTES
Y533;EFECTOS ADVERSOS DE LAXANTES SALINOS Y OSMOTICOS
Y534;EFECTOS ADVERSOS DE OTROS LAXANTES
Y535;EFECTOS ADVERSOS DE DIGESTIVOS
Y536;EFECTOS ADVERSOS DE DROGAS ANTIDIARREICAS
Y537;EFECTOS ADVERSOS DE EMETICOS
Y538;EFECTOS ADVERSOS DE OTROS AGENTES QUE AFECTAN PRIMARIAMENTE EL SISTEMA GASTROINTESTINAL
Y539;EFECTOS ADVERSOS DE AGENTES QUE AFECTAN PRIMARIAMENTE EL SISTEMA GASTROINTESTINAL, NO ESPECIFICADOS
Y540;EFECTOS ADVERSOS DE MINERALOCORTICOIDES
Y541;EFECTOS ADVERSOS DE LOS BLOQUEADORES DE MINERALOCORTICOIDES [ANTAGONISTAS DE LA ALDOSTERONA]
Y542;EFECTOS ADVERSOS DE LOS INHIBIDORES DE LA ANHIDRASA CARBONICA
Y543;EFECTOS ADVERSOS DE LOS DERIVADOS DE LA BENZOTIADIAZINA
Y544;"EFECTOS ADVERSOS DE DIURETICOS DE ASA [""HIGH-CEILING""]"
Y545;EFECTOS ADVERSOS DE OTROS DIURETICOS
Y546;EFECTOS ADVERSOS DE AGENTES ELECTROLITICOS, CALORICOS Y DEL EQUILIBRIO HIDRICO
Y547;EFECTOS ADVERSOS DE AGENTES QUE AFECTAN LA CALCIFICACION
Y548;EFECTOS ADVERSOS DE AGENTES QUE AFECTAN EL METABOLISMO DEL ACIDO URICO
Y549;EFECTOS ADVERSOS DE SALES MINERALES NO CLASIFICADAS EN OTRA PARTE
Y550;EFECTOS ADVERSOS DE DROGAS OXITOCICAS
Y551;EFECTOS ADVERSOS DE RELAJANTES DE LOS MUSCULOS ESTRIADOS [AGENTES BLOQUEADORES NEUROMUSCULARES]
Y552;EFECTOS ADVERSOS DE OTROS AGENTES QUE ACTUAN PRIMARIAMENTE SOBRE LOS MUSCULOS, Y LOS NO ESPECIFICADOS
Y553;EFECTOS ADVERSOS DE ANTITUSIGENOS
Y554;EFECTOS ADVERSOS DE EXPECTORANTES
Y555;EFECTOS ADVERSOS DE DROGAS CONTRA EL RESFRIADO COMUN
Y556;EFECTOS ADVERSOS DE ANTIASMATICOS, NO CLASIFICADOS EN OTRA PARTE
Y557;EFECTOS ADVERSOS DE OTROS AGENTES QUE ACTUAN PRIMARIAMENTE SOBRE EL SISTEMA RESPIRATORIO, Y LOS NO ESPECIFICADOS
Y560;EFECTOS ADVERSOS DE DROGAS ANTIMICOTICAS, ANTIINFECCIOSAS Y ANTIINFLAMATORIAS DE USO LOCAL, NO CLASIFICADAS EN OTRA PARTE
Y561;EFECTOS ADVERSOS DE ANTIPRURIGINOSOS
Y562;EFECTOS ADVERSOS DE ASTRINGENTES Y DETERGENTES LOCALES
Y563;EFECTOS ADVERSOS DE EMOLIENTES, DEMULCENTES Y PROTECTORES
Y564;EFECTOS ADVERSOS DE DROGAS Y PREPARADOS QUERATOLITICOS, QUERATOPLASTICOS Y OTROS PARA EL TRATAMIENTO DEL CABELLO
Y565;EFECTOS ADVERSOS DE DROGAS Y PREPARADOS OFTALMOLOGICOS
Y566;EFECTOS ADVERSOS DE DROGAS Y PREPARADOS OTORRINOLARINGOLOGICOS
Y567;EFECTOS ADVERSOS DE DROGAS DENTALES, DE APLICACIÓN TOPICA
Y568;EFECTOS ADVERSOS DE OTROS AGENTES TOPICOS
Y569;EFECTOS ADVERSOS DE OTROS AGENTES TOPICOS NO ESPECIFICADOS
Y570;EFECTOS ADVERSOS DE DEPRESORES DEL APETITO [ANOREXICOS]
Y571;EFECTOS ADVERSOS DE DROGAS LIPOTROPICAS
Y572;EFECTOS ADVERSOS DE ANTIDOTOS Y AGENTES QUELANTES, NO CLASIFICADOS EN OTRA PARTE
Y573;EFECTOS ADVERSOS DE DISUASIVOS DEL ALCOHOL
Y574;EFECTOS ADVERSOS DE EXCIPIENTES FARMACEUTICOS
Y575;EFECTOS ADVERSOS DE MEDIOS DE CONTRASTE PARA RAYOS X
Y576;EFECTOS ADVERSOS DE OTROS AGENTES DIAGNOSTICOS
Y577;EFECTOS ADVERSOS DE VITAMINAS, NO CLASIFICADAS EN OTRA PARTE
Y578;EFECTOS ADVERSOS DE OTRAS DROGAS Y MEDICAMENTOS
Y579;EFECTOS ADVERSOS DE DROGAS Y MEDICAMENTOS NO ESPECIFICADOS
Y580;EFECTOS ADVERSOS DE LA VACUNA BCG
Y581;EFECTOS ADVERSOS DE LA VACUNA TIFOIDEA Y PARATIFOIDEA
Y582;EFECTOS ADVERSOS DE LA VACUNA CONTRA EL COLERA
Y583;EFECTOS ADVERSOS DE LA VACUNA CONTRA LA PESTE
Y584;EFECTOS ADVERSOS DE LA VACUNA CONTRA EL TETANOS
Y585;EFECTOS ADVERSOS DE LA VACUNA CONTRA LA DIFTERIA
Y586;EFECTOS ADVERSOS DE LA VACUNA CONTRA LA TOS FERINA, INCLUSIVE COMBINACIONES CON UN COMPONENTE PERTUSIS
Y588;EFECTOS ADVERSOS DE VACUNAS BACTERIANAS MIXTAS, EXCEPTO COMBINACIONES CON UN COMPONENTE PERTUSIS
Y589;EFECTOS ADVERSOS DE OTRAS VACUNAS BACTERIANAS, Y LAS NO ESPECIFICADAS
Y590;EFECTOS ADVERSOS DE VACUNAS VIRALES
Y591;EFECTOS ADVERSOS DE VACUNAS CONTRA RICKETTSIAS
Y592;EFECTOS ADVERSOS DE VACUNAS ANTIPROTOZOARIAS
Y593;EFECTOS ADVERSOS DE LA INMUNOGLOBULINA
Y598;EFECTOS ADVERSOS DE OTRAS VACUNAS Y SUSTANCIAS BIOLOGICAS ESPECIFICADAS
Y599;EFECTOS ADVERSOS DE OTRAS VACUNAS O SUSTANCIAS BIOLOGICAS NO ESPECIFICADAS
Y600;INCIDENTE DURANTE OPERACIÓN QUIRURGICA
Y601;INCIDENTE DURANTE INFUSION O TRANSFUSION
Y602;INCIDENTE DURANTE DIALISIS RENAL U OTRA PERFUSION
Y603;INCIDENTE DURANTE INYECCION O INMUNIZACION
Y604;INCIDENTE DURANTE EXAMEN ENDOSCOPICO
Y605;INCIDENTE DURANTE CATETERIZACION CARDIACA
Y606;INCIDENTE DURANTE ASPIRACION, PUNCION Y OTRA CATETERIZACION
Y607;INCIDENTE DURANTE ADMINISTRACION DE ENEMA
Y608;INCIDENTE DURANTE OTRAS ATENCIONES MEDICAS Y QUIRURGICAS
Y609;INCIDENTE DURANTE ATENCION MEDICA Y QUIRURGICA NO ESPECIFICADA
Y610;OBJETO EXTRAÑO DEJADO ACCIDENTALMENTE EN EL CUERPO DURANTE OPERACIÓN QUIRURGICA
Y611;OBJETO EXTRAÑO DEJADO ACCIDENTALMENTE EN EL CUERPO DURANTE INFUSION O TRANSFUSION
Y612;OBJETO EXTRAÑO DEJADO ACCIDENTALMENTE EN EL CUERPO DURANTE DIALISIS RENAL U OTRA PERFUSION
Y613;OBJETO EXTRAÑO DEJADO ACCIDENTALMENTE EN EL CUERPO DURANTE INYECCION O INMUNIZACION
Y614;OBJETO EXTRAÑO DEJADO ACCIDENTALMENTE EN EL CUERPO DURANTE EXAMEN ENDOSCOPICO
Y615;OBJETO EXTRAÑO DEJADO ACCIDENTALMENTE EN EL CUERPO DURANTE CATETERIZACION CARDIACA
Y616;OBJETO EXTRAÑO DEJADO ACCIDENTALMENTE EN EL CUERPO DURANTE ASPIRACION, PUNCION Y OTRA CATETERIZACION
Y617;OBJETO EXTRAÑO DEJADO ACCIDENTALMENTE EN EL CUERPO DURANTE REMOCION DE CATETER O TAPONAMIENTO
Y618;OBJETO EXTRAÑO DEJADO ACCIDENTALMENTE EN EL CUERPO DURANTE OTRAS ATENCIONES MEDICAS Y QUIRURGICAS
Y619;OBJETO EXTRAÑO DEJADO ACCIDENTALMENTE EN EL CUERPO DURANTE ATENCION MEDICA Y QUIRURGICA NO ESPECIFICADA
Y620;FALLAS EN LA ESTERILIZACION DURANTE OPERACIÓN QUIRURGICA
Y621;FALLAS EN LA ESTERILIZACION DURANTE INFUSION O TRANSFUSION
Y622;FALLAS EN LA ESTERILIZACION DURANTE DIALISIS RENAL U OTRA PERFUSION
Y623;FALLAS EN LA ESTERILIZACION DURANTE INYECCION O INMUNIZACION
Y624;FALLAS EN LA ESTERILIZACION DURANTE EXAMEN ENDOSCOPICO
Y625;FALLAS EN LA ESTERILIZACION DURANTE CATETERIZACION CARDIACA
Y626;FALLAS EN LA ESTERILIZACION DURANTE ASPIRACION, PUNCION Y OTRA CATETERIZACION
Y628;FALLAS EN LA ESTERILIZACION DURANTE OTRAS ATENCIONES MEDICAS Y QUIRURGICAS
Y629;FALLAS EN LA ESTERILIZACION DURANTE ATENCION MEDICA Y QUIRURGICA NO ESPECIFICADA
Y630;EXCESIVA CANTIDAD DE SANGRE U OTRO LIQUIDO ADMINISTRADO DURANTE UNA INFUSION O TRANSFUSION
Y631;DILUCION INCORRECTA DE LIQUIDO DURANTE UNA INFUSION
Y632;SOBREDOSIS DE RADIACION ADMINISTRADA DURANTE TERAPIA
Y633;EXPOSICION INADVERTIDA DEL PACIENTE A RADIACION DURANTE LA ATENCION MEDICA
Y634;FALLA EN LA DOSIFICACION EN ELECTROCHOQUE O EN CHOQUE INSULINICO
Y635;FALLA EN EL CONTROL DE LA TEMPERATURA, EN TAPONAMIENTOS Y APLICACIONES LOCALES
Y636;NO ADMINISTRACION DE DROGAS, MEDICAMENTOS O SUSTANCIAS BIOLOGICAS NECESARIAS
Y638;FALLA EN LA DOSIFICACION DURANTE OTRAS ATENCIONES MEDICAS Y QUIRURGICAS
Y639;FALLA EN LA DOSIFICACION DURANTE ATENCION MEDICA Y QUIRURGICA NO ESPECIFICADA
Y640;MEDICAMENTO O SUSTANCIA BIOLOGICA CONTAMINADO EN INFUSION O TRANSFUSION
Y641;MEDICAMENTO O SUSTANCIA BIOLOGICA CONTAMINADO, INYECTADO O USADO PARA INMUNIZACION
Y648;MEDICAMENTO O SUSTANCIA BIOLOGICA CONTAMINADO, ADMINISTRADO POR OTROS MEDIOS
Y649;MEDICAMENTO O SUSTANCIA BIOLOGICA CONTAMINADO, ADMINISTRADO POR MEDIOS NO ESPECIFICADOS
Y650;SANGRE INCOMPATIBLE USADA EN TRANSFUSION
Y651;LIQUIDO ERRONEO USADO EN INFUSION
Y652;FALLA EN LA SUTURA O LIGADURA DURANTE OPERACIÓN QUIRURGICA
Y653;TUBO ENDOTRAQUEAL COLOCADO ERRONEAMENTE DURANTE PROCEDIMIENTO ANESTESICO
Y654;FALLA EN LA INTRODUCCION O REMOCION DE OTRO TUBO O INSTRUMENTO
Y655;REALIZACION DE UNA OPERACIÓN INADECUADA
Y658;OTROS INCIDENTES ESPECIFICADOS DURANTE LA ATENCION MEDICA Y QUIRURGICA
Y66;NO ADMINISTRACION DE LA ATENCION MEDICA Y QUIRURGICA
Y69;INCIDENTES NO ESPECIFICADOS DURANTE LA ATENCION MEDICA Y QUIRURGICA
Y700;DISPOSITIVOS DE ANESTESIOLOGIA ASOCIADOS CON INCIDENTES ADVERSOS: DISPOSITIVOS DE DIAGNOSTICO Y MONITOREO
Y701;DISPOSITIVOS DE ANESTESIOLOGIA ASOCIADOS CON INCIDENTES ADVERSOS: DISPOSITIVOS TERAPEUTICOS (NO QUIRURGICOS) Y DE REHABILITACION
Y702;DISPOSITIVOS DE ANESTESIOLOGIA ASOCIADOS CON INCIDENTES ADVERSOS: DISPOSITIVOS PROTESICOS Y OTROS IMPLANTES, MATERIALES Y ACCESORIOS
Y703;DISPOSITIVOS DE ANESTESIOLOGIA ASOCIADOS CON INCIDENTES ADVERSOS: INSTRUMENTOS QUIRURGICOS, DISPOSITIVOS Y MATERIALES (INCLUSIVE SUTURAS)
Y708;DISPOSITIVOS DE ANESTESIOLOGIA ASOCIADOS CON INCIDENTES ADVERSOS: DISPOSITIVOS DIVERSOS, NO CLASIFICADOS EN OTRA PARTE
Y710;DISPOSITIVOS CARDIOVASCULARES ASOCIADOS CON INCIDENTES ADVERSOS: DISPOSITIVOS DE DIAGNOSTICO Y MONITOREO
Y711;DISPOSITIVOS CARDIOVASCULARES ASOCIADOS CON INCIDENTES ADVERSOS: DISPOSITIVOS TERAPEUTICOS (NO QUIRURGICOS) Y DE REHABILITACION
Y712;DISPOSITIVOS CARDIOVASCULARES ASOCIADOS CON INCIDENTES ADVERSOS: DISPOSITIVOS PROTESICOS Y OTROS IMPLANTES, MATERIALES Y ACCESORIOS
Y713;DISPOSITIVOS CARDIOVASCULARES ASOCIADOS CON INCIDENTES ADVERSOS: INSTRUMENTOS QUIRURGICOS, DISPOSITIVOS Y MATERIALES (INCLUSIVE SUTURAS)
Y718;DISPOSITIVOS CARDIOVASCULARES ASOCIADOS CON INCIDENTES ADVERSOS: DISPOSITIVOS DIVERSOS, NO CLASIFICADOS EN OTRA PARTE
Y720;DISPOSITIVOS OTORRINOLARINGOLOGICOS ASOCIADOS CON INCIDENTES ADVERSOS: DISPOSITIVOS DE DIAGNOSTICO Y MONITOREO
Y721;DISPOSITIVOS OTORRINOLARINGOLOGICOS ASOCIADOS CON INCIDENTES ADVERSOS: DISPOSITIVOS TERAPEUTICOS (NO QUIRURGICOS) Y DE REHABILITACION
Y722;DISPOSITIVOS OTORRINOLARINGOLOGICOS ASOCIADOS CON INCIDENTES ADVERSOS: DISPOSITIVOS PROTESICOS Y OTROS IMPLANTES, MATERIALES Y ACCESORIOS
Y723;DISPOSITIVOS OTORRINOLARINGOLOGICOS ASOCIADOS CON INCIDENTES ADVERSOS: INSTRUMENTOS QUIRURGICOS, DISPOSITIVOS Y MATERIALES (INCLUSIVE SUTURAS)
